Term	Definition	Topic
ASCII code 	 coding system for all the characters on a keyboard and control codes.	01.1 Data Representation
BCD	BInary Coded Decimal	01.1 Data Representation
BCS 	 British Computer Society.	01.1 Data Representation
Binary	Numbers that consist of the digits 0 and 1.	01.1 Data Representation
Bit 	 abbreviation for binary digit.	01.1 Data Representation
By value 	 a method of passing a parameter to a procedure in which the value of the variable cannot be changed by the procedure.	01.1 Data Representation
Byte	A group of eight bits treated as a single unit 	01.1 Data Representation
Candidate key 	 an attribute or smallest set of attributes in a	01.1 Data Representation
Channels 	Channels are the number of separate recording elements in the data	01.1 Data Representation
Character set 	a list of characters that have been defined by computer hardware and software; it is necessary to have a method of coding, so that the computer can understand human characters.	01.1 Data Representation
Composite data type 	 a data type constructed using several of the basic data types available in a particular programming language.	01.1 Data Representation
Data modelling	Data modeling is often the first step in database design and object-oriented programming as the designers first create a conceptual model of how data items relate to each other. Data modeling involves a progression from conceptual model to logical model to physical schema.	01.1 Data Representation
Data redundancy 	 situation in which the same data is stored on several servers in case of maintenance or repair.	01.1 Data Representation
Denary	The numbers we use in everyday life: digits between 0-9.	01.1 Data Representation
Entity 	anything that can have data stored about it; for example, a person, place, event, thing.	01.1 Data Representation
Enumerated data type 	a non-composite data type defined by a given list of all possible values that has an implied order.	01.1 Data Representation
ERD - Entity Relationship Diagram	Pictorial way of showing relationships between entities	01.1 Data Representation
File 	a collection of data stored by a computer program to be used again.	01.1 Data Representation
file header	region at the beginning of each file where book keeping information (like file size) is kept.	01.1 Data Representation
File organisation 	 the way that records of data are physically stored in a file, including the structure and ordering of the records.	01.1 Data Representation
Flag 	indicates the status of a bit in the status register; for example, N = 1 indicates the result of an addition gives a negative value.	01.1 Data Representation
Fragmented 	 storage of data in non	01.1 Data Representation
Frame rate 	number of video frames that make up a video per second.	01.1 Data Representation
Full adder circuit 	 two half adders combined to allow the sum of several binary bits.	01.1 Data Representation
GIF	Image format capable for animation and can be losslessly-compressed	01.1 Data Representation
Hashing algorithm (file access) 	 a mathematical formula used to perform a calculation on the key field of the record; the result of the calculation gives the address where the record should be found.	01.1 Data Representation
Hexadecimal	Known as base-16 as well, consists of the digits between 0-9 and A-F	01.1 Data Representation
Hexadecimal 	 a number system based on the value 16 (uses the denary digits O to 9 and the letters A to F).	01.1 Data Representation
Index (database) 	 a data structure built from one or more columns in a database table to speed up searchi ng for data .	01.1 Data Representation
Instance	a specific example of an object	01.1 Data Representation
Instance variable 	 each object of a class has its own individual copy of this data	01.1 Data Representation
intellectual property	something unique that has been physically created by someone (an idea that hasn’t been implemented is not intellectual property)	01.1 Data Representation
Interlaced Encoding	Interlacing refers to the method of encoding two separate 'fields' in a single frame by using alternating lines	01.1 Data Representation
Interrupt 	 signal sent from a device or software to a processor requesting its attention; the processor suspends all operations until the int err u pt has been serviced.	01.1 Data Representation
Iterative model 	 a type of program development cycle in which a simple subset of the requirements is developed, then	01.1 Data Representation
Kibi	A prefix representing the factor 2^10(1024) written as the symbol KiBi	01.1 Data Representation
Lexical analysis 	 the first stage in the process of compilation;	01.1 Data Representation
Logical Schema	A logical schema is a data model of a specific problem domain expressed in terms of a particular data management technology. Without being specific to a particular database management product, it is in terms of either relational tables and columns, object-oriented classes, or XML tags.	01.1 Data Representation
Lossy compression 	Is the class of data encoding methods that uses inexact approximations and partial removal of data  to represent the content in a smaller file 	01.1 Data Representation
Lower bound 	 the index of the first element in an array, usually 0 or 1.	01.1 Data Representation
Memory organisation 	 function of memory management that determines how much memory is allocated to an application.	01.1 Data Representation
Metadata 	 a set of data that describes and gives information about other data.	01.1 Data Representation
Object 	 an instance of a class that is self	01.1 Data Representation
One's complement 	 each binary digit in a number is reversed to allow both negative and positive numbers to be represented.	01.1 Data Representation
Record (data type) 	 a composite data type comprising several related items that may be of different data types.	01.1 Data Representation
Setter 	 a method used to control changes to a variable.	01.1 Data Representation
Superclass 	 provides methods and attributes which are used by another class	01.1 Data Representation
Trace table 	 a table showing the process of dry running	01.1 Data Representation
Two's complement 	 each binary digit is reversed and 1 is added in right	01.1 Data Representation
Unicode 	 coding system which represent s all the languages of the world (first 128 characters are the same as ASCII code).	01.1 Data Representation
Unlabelled data 	 data where objects are undefined and need to be manually recognised.	01.1 Data Representation
Word 	 group of bits used by a computer to represent a single unit.	01.1 Data Representation
Analogue to digital converter (ADC) 	 needed to convert analogue data (read from sensors, for example) into a form understood by a computer.	01.2 Multimedia – Graphics, Sound
Bit depth 	 number of bits used to represent the smallest unit in, for example, a sound or image file; the larger the bit depth, the better the quality of the sound or colour image.	01.2 Multimedia – Graphics, Sound
Bit rate 	 number of bits per second that can be transmitted over a network; it is a measure of the data transfer rate over a digital telecoms network..	01.2 Multimedia – Graphics, Sound
Bit size 	Determines how much information can be stored in a file	01.2 Multimedia – Graphics, Sound
Bit streaming 	 contiguous sequence of digital bits sent over a network/internet.	01.2 Multimedia – Graphics, Sound
Bitmap (BMP)	A bitmap image is made up of a grid of rows and columns where a specific cell is given a colour value. 	01.2 Multimedia – Graphics, Sound
Bluetooth 	 wireless connectivity that uses radio waves in the 2.45 GHz frequency band.	01.2 Multimedia – Graphics, Sound
Colour depth 	 number of bits used to represent the colours in a pixel, e.g. 8 bit colour depth can represent 2^8 = 256 Colours.	01.2 Multimedia – Graphics, Sound
Disk formatter 	utility that prepares a disk to allow data/files to be stored and retrieved.	01.2 Multimedia – Graphics, Sound
Dual layering 	used in DVDs; uses two recording layers.	01.2 Multimedia – Graphics, Sound
Enumerated	Data is put into numbers	01.2 Multimedia – Graphics, Sound
Erasable PROM (EPROM) 	type of ROM that can be programmed more than once using ultra violet (UV) light.	01.2 Multimedia – Graphics, Sound
Frame Rate	Frames per second	01.2 Multimedia – Graphics, Sound
Frames 	 fixed	01.2 Multimedia – Graphics, Sound
Icon 	 small picture or symbol used to represent, for example, an application on a screen.	01.2 Multimedia – Graphics, Sound
Image resolution 	number of pixels that make up an image; for example, an image could contain 4096 x 3192 pixels (13 074432 pixels in total).	01.2 Multimedia – Graphics, Sound
